Redacao,Nota
"""A educação tem raízes amargas, mas seus frutos são doces"". Essa foi uma frase do filósofo Aristóteles, todavia, sua aplicação pode ser inserida nas condições de oportunidade presentes na educação pública brasileira. A péssima qualidade no ensino inibe futuras propostas de emprego e promoções se compararmos alunos de escolar estaduais e particulares; Sobressaem-se apenas os diminutos interessados e esforçados.
O instinto de alguém determinado a aprender é o esforço, sem ele, nenhuma barreira será ultrapassada. Entretanto, a facilidade para conseguir recursos de aprendizagem é tão reduzida quanto o número de crianças alfabetizadas na escola fundamental gratuita.
Educação, incentivo, oportunidade e dedicação são a chave para o sucesso. Um exemplo emocionante é a do detento que se formou no curso de psicologia na penitenciária. Mais do que a sua persistência, o apoio e a crença no ensino desses seres humanos é que foi determinante para essa conquista.
O balanço e equilíbrio entre qualidade de ensino e esforço individual é um pressuposto para um avanço nos índices da avaliação nacional de alfabetização (ANA). Investimento na área, professores qualificados, material de estudo disponível vai alavancar um progresso. Pais têm um papel fundamental ao instruir sobre educação e, a próxima geração possuí função determinante contra a ignorância.",3.0
"""A guerra contra as drogas além de ser cara e inútil, está produzindo uma tragédia?, diz o deputado Jean Wyllys, a liberação da guerra da maconha é um projeto de lei, que provocou muita polêmica, devido ao fato da droga provocar danos à saúde. Descriminalizar, manter a proibição, ou liberar""
A maconha pode acarretar sérios problemas de saúde, dependência que traz muitos problemas tanto para o usuário quanto para a família. Os contra também citam a falta de estrutura no sistema de tratamento. Também alegam que estas drogas pode ser porta para outras, como o crack.
Outros especialistas que são contra a legalização, mas a favor da descriminalização, por julgarem que um usuário não comente crime ao usar, só se causar danos a sociedade. Inclusive a ONU fez um relatório, dizendo que as lutas contra a drogas não teve muitos resultados, assim o usuário não irá parar em uma cadeia congestionada e que de fato é uma escola pro crime.
A legalização, não significa estar entregando elas nas mãos dos jovens, é como o secretario do Uruguai explica, é tirar arma e regularizar os pontos de vendas. Isto acabaria com uma guerra que mata mais do que a droga, segundo dados 56% dos assassinatos no país são diretamente ligados ao tráfico e na maioria jovens de 15 a 25 anos.
Concluímos, que continuar a proibição é manter a guerra, o certo seria regularizar, com isso livrar-se de gastos, dar uma nova chance os usuários. E devemos sempre batermos na mesma tecla, investir em educação,  principalmente nas regiões mais carentes.",4.5
"""A justiça é a vingança do homem em sociedade, como a vingança é a justiça do homem em estado selvagem"". A frase dita por Epicuro, filósofo grego do período helenístico, reflete de modo convincente a situação onde se encontra o nosso país que, na carência de justiça, acaba se apegando à vingança contra os infratores da lei.
Não é em vão que o Brasil esteja dividido quanto à ideologia do ""bandido bom é bandido morto"", termo usado quando os criminosos levam a pior em seus atos, pois acabam saciando a ""sede de justiça"" dos cidadãos que acabam temerosos ao andarem nas ruas por falta de segurança; tal sede que acaba sendo representada nas atitudes dos policiais, a partir do momento em que se tem o infrator em mãos.  Não são poucos os casos onde caem nas redes sociais, torturas e humilhações por parte das autoridades, causando até euforias das pessoas, fato bastante preocupante.
Recentemente, um policial morreu no Rio de Janeiro em confronto com os bandidos, fato comum se o próprio não fosse também conhecido pelo seu trabalho de dublador. O que talvez possa ter chamado atenção fora um conteúdo compartilhado pelo próprio em seu perfil de uma rede social onde dois policiais gravaram um vídeo humilhando dois infratores, sendo um deles menor de idade, alcançando opiniões adversas entre seus seguidores. Talvez não tenha influenciado, mas a propagação do ódio só causa ampliação do mesmo.
Essencial que os cidadãos não ajam apenas por emoção, pois é comum - principalmente quando se é a vítima – desejar uma violência talvez não proporcional para com o ato de seu agressor, mas por mais falha que sejam as leis no Brasil, o importante é não ferir os direitos humanos, pois como disse Don Ramón, importante personagem criado por Chespirito, ""a vingança nunca é plena, mata a alma e a envenena"".",4.0
"""A vida se contrai e se expande proporcionalmente à coragem do indivíduo."" Com essas palavras a escritora francesa, Anaïs Nin, deixa clara a importância das pessoas serem capazes de resistirem às adversidades que se apresentam diariamente nas suas vidas; a covardia , ao contrário , fragiliza o indivíduo que, por sua vez, fica inerte e não demonstra reação.
Na própria história do Brasil e do mundo é notória a relevância da coragem como fator preponderante em ações que desafiaram ou desafiam a ordem vigente. No Brasil, por exemplo, se não houvesse Romantismo e Modernismo, ambos movimentos literários, possivelmente até hoje não existiria uma literatura verdadeiramente brasileira e sem influências externas.  No mundo, entre vários heróis, pode-se citar a figura de Nelson Mandela como líder rebelde contra o Apartheid, na África do Sul.
No entanto, vêem se tornando rotineiros os casos em que os seres humanos acovardam-se ao correto e preferem praticar o errado ao certo. Assim, muitas das mazelas que persistem no mundo como pobreza, fome, corrupção, advém de muitas atitudes covardes, seja elas de governantes ou civis, que não reagem e permanecem na inércia, prevalecendo ações paliativas que não são eficazes e não atingem a raiz do problema.
Sendo assim, qualquer atitude corajosa - que atualmente não faz parte do padrão da sociedade - como a verificada na Itália, em que ocorreu o naufrágio do Costa Concórdia, consagrando herói o comandante Francesco Schettino, que exigiu o retorno do comandante ao navio,  faz com que a população descrente ou mal acostumada com essas ações,  perceba a importância de serem corajosos em momentos como esses.
Diante de tudo isso, deve-se exaltar a coragem como uma virtude que não pode ser reprimida, abolindo a covardia, facilitando a reconstrução moral da sociedade, baseada em valores autênticos. Assim, os heróis dos gibis deixarão de ser mera ficção e serão personificados nas pessoas comuns que, por sua vez, se tornarão exemplos a seguir.",7.5
"""Ame seu próximo como a si mesmo"". Uma frase que atravessou gerações está desgastada e insossa, é esta a analise que podemos fazer ao nos depararmos com a atual situação da humanidade.
Crimes passionais tornaram-se corriqueiros e, embora ainda assustem, não são mais taxados como o apocalipse da era moderna. Alguns desses casos ganham amplo destaque na mídia, virando pauta de debates entre as camadas da população. Outros tantos deslumbram do anonimato e falta de interessante por parte dos grupos de mídia. No geral, todos eles tem um ponto em comum: o amor mal resolvido.
Ao longo de séculos a humanidade construiu equipamentos tão sofisticados que seriam inimagináveis para a mente um Australopitecus, mas o instinto de possessão, dele até nós, pouco mudou. Ainda temos ideologias tão primitivas e retrogadas que nos espantam.
O ciúme exarcebado e o instito de possessão são algumas das características do amor passional - uma doença. Psicólogos e psicanalistas associam esse amor à solidão. Esse é o amor que mata em nome do amor. Uma assombrosa contradição.
Casos como o da menina Eloá, assassinada em Santo André-SP, são mais comuns do que se pensam. Muitas pessoas são vítimas de perseguições e ameaças, acuadas, poucas denunciam o delito.
Existem, no Brasil, casas de tratamento para os neuróticos emocionais, pessoas que deixam de viver suas próprias vidas a mercê de um sentimento destrutivo. Em reuniões eles discutem maneiras para controlar o sentimento mais nobre de um ser racional, formas para estabelecer coesão entre a verdade e o abstrato. Dialogam sobre experiências vividas e buscam soluções para seus problemas.
É desolador imaginar que muitas pessoas matam porque amam e acham isso correto. Mais ainda é saber que a sociedade tende a agir como um serial killer na hora de julgar tais assassinos.
Problemas de ordem psicológica levam pessoas pacatas a cometerem crimes assustadores. Mas o certo não é dizer que quem ama mata. Quem é doente, sim, mata.
O mundo, com toda sua turbulência, criou verdadeiras máquinas de tirar vidas. O ser humano é o amor que muitas vezes age pelo ódio.",7.0
"""Bullying"", ""cyberbullying"" palavras novas para atitudes velhas. Quem na escola não foi apelidado de ""quatro-olhos"", ""baleia"", ""Olívia Palito"", ""espanador da lua"" ou ""CDF""?  Sempre houve diversas formas de constranger colegas de colégio.
Hoje em dia, essas formas de agressões sofisticaram-se ficaram mais ofensivas.
E como resolver?
Primeiramente os pais devem estar sempre atentos a seus filhos, pois esse tipo de agressão faz com que a vítima mude seu comportamento. Passam a não querer ir à escola, caem no rendimento escolar, perdem o apetite, sofrem.
A escola e principalmente ela , como co-responsável pela educação e formação de seus alunos tem a obrigação de estar atenta a todo o tipo de manifestação agressiva dos alunos e implantar as medidas necessárias de como impedir ou proibir atitudes violentas de determinados jovens para com aqueles suscetíveis aos ""bullying"".
Os pais devem interagir com a escola para juntos procurarem soluções que visem acabar com esses comportamentos. Criar atividades que uma a comunidade escolar, mostrar o que causam as vítimas de suas agressões e as punições que podem ser aplicadas aos que provocam o ""bullying"" para que os mesmos tenham consciência dos resultados de suas atitudes.
Quanto ao ""cyberbullying"", por estar registrado, é até mais fácil de controlar, apesar de a rede espalhar mais rápido, a vítima tem a oportunidade de se defender e provar. Fato que e torna difícil nas escolas com as do ""bullying"" porque muitas vezes é só vítima e agressor sem testemunhas ou quando estas existem são coniventes.
Concluindo a solução para o problema ainda é o diálogo e o esclarecimento para agressor e agredido, uma vez que,  a criança ou o adolescente que pratica o ""bullying"" sabe o que está fazendosó não tem consciência dos resultados.",6.0
"""Cadê o dinheiro da minha merenda 'rato'? Não trouxe?! Não quero nem saber vai apanhar!"", diz o valentão rodeado de colegas. Cenas assim são comuns principalmente em escolas e são consideradas ""bullying"". O ""bullying"" é a prática da violência física e/ou psicológica a alguém, sendo as crianças e os adolescentes as principais vítimas. Precisamos ficar atentos para saber quem sofre disso e quem são os agressores, afim de cuidarmos dos envolvidos e evitarmos que isso continue a acontecer.
Mas isso acontece também em outros lugares, como em casa e no trabalho. Os agressores, geralmente, têm ajuda de outros colegas, e as vítimas costumam ser diferentes dos demais: são fracas, nojentas, ridículas, pobres, uns ""caminhões de ossos""(magras), baleias, girafas, anões; segundo os valentões.  Quem sofre é ameaçado para não dizer nada a ninguém, o que dificulta descobrir tais práticas. E quando é descoberto já é tarde demais. No EUA é frequente casos em que a vítima assassina com arma de fogos os agressores, mata os professores, alunos e suicida logo após. O que nos deixa claro que esses atos causam traumas, humilhações e são perturbadores .
Além disso, tais práticas atrapalham e incomodam o ambiente de Estudo . Os alunos são intimidados, ficam com medo de ir à escola e aprendizagem é prejudicada, uma vez que as mentes destes são tomadas por pensamentos que poderão ser as próximas vítimas a qualquer hora.
Os agressores também sofrem as conseqüências dos próprios atos. Acham divertidos ""brincar"" de dar tapas, socos e colocar ""nicknames"", acabam acostumando com isso. Já adultos se tornam alcoólicos ou viciados em drogas.  Isso porque quando criança ou adolescente não teve limites e nem foi educado adequadamente, percebe-se ao desrespeitar os outros quando xinga ou bate. Ou seja, todos são lesados por essas práticas maldosas. Portanto, cabe a toda sociedade ficar atenda e proibir essas ""brincadeiras"".",4.0
"""Coragem é resistência ao medo, domínio do medo, e não ausência do medo”, essa frase de Mark Twain define o termo coragem muitíssimo bem, mas não podemos esquecer que a covardia é um dos sentimentos que estão presentes na vida de cada ser humano, seja nas atitudes, nos relacionamentos, enfim na vida.
A negligência cometida pelo capitão Francesco Schettino,  do Costa Concórdia, é uma amostra recente de covardia, do medo de assumir o seu próprio erro, medo de ser criticado, medo da culpa. Na nossa sociedade atual, o medo está presente em tudo, perder a estabilidade num emprego ou num relacionamento, sempre está fora de questão e muitas pessoas se utilizam de atos covardes para não colocarem em risco o que consideram importante.
Num mundo como o nosso, o caráter deveria ser contado como questão principal.  A coragem não é muito incentivada na nossa sociedade e a covardia é um ato que não é punido. É muito mais fácil,  colocar a culpa em alguém, desistir de uma coisa mais difícil, fugir de decisões e verdades do que assumi-las.
A coragem também está contida em pequenos atos, não somente em se tornar herói por ter arriscado a vida para salvar algo ou alguém, mas também evitando mentiras do dia a dia, agindo com responsabilidade e comprometimento, é ter maturidade e senso critico. Não é enfrentar os problemas de qualquer jeito, mas avaliar os riscos e ser ousado e fazer o novo.
Portanto só nos resta esperar que a sociedade tenha mais coragem nas suas atitudes,  que construa pessoas com caráter, que assumam seus erros e não fujam de suas responsabilidades. Um mundo onde a verdade seja valorizada, onde soluções ousadas apareçam no lugar de grandes problemas.",6.0
"""Dar umas palmadas"" é um dos meios mais comuns e primitivos de se educar os filhos, afinal, não há melhor maneira de ensinar alguém a não repetir uma ação do que relacionando algo desagradável logo após o ocorrido, que, no caso das palmadas, é a dor física.
É claro que a eficácia do método não justifica o ato de agredir alguém incapaz de se defender. Existem meios mais saudáveis de se ensinar uma criança que o que ela está fazendo é errado: tirar seu brinquedo favorito, restringir o acesso à televisão ou mesmo um sonoro ""não"". Em contrapartida, também se deve recompensá-la quando algo de bom for feito, estimulando-a a continuar a boa prática.
Há uma recente lei que tem como objetivo evitar os castigos físicos e de caráter humilhante. É bem-vinda a interferência quando o único objetivo é evitar os abusos provocados pelos pais, que possuem o direito de escolher o método que melhor lhe convir para educar seus filhos, mas não o de maltratá-los e humilhá-los.
A necessidade desta nova lei pode ser questionada, pois tortura e violência física são crimes já previstos pela legislação vigente.
Enfim, deve-se evitar os abusos praticados contra as crianças e adolescentes e apenas interferir nos casos de real necessidade, em que a saúde física e mental do castigado esteja sendo prejudicada. Não deve o Estado tomar o lugar dos pais, mas zelar pela integridade não somente dos jovens, mas de toda a população.",6.5
"""Enquanto a cor da pele for mais importante que o brilho dos olhos, haverá guerra"". lebre frase de Bob Marley retrata muito bem um desafio duramente enfrentado por pessoas em todo o mundo, o preconceito racial.
Desde os tempos mais remotos a segregação está presente nas sociedades. Tendo sido definida por classes sociais, poder econômico, ou, na pior das hipóteses, cor da pele. Esta última foi duramente combatida em eventos marcantes da história como a escravidão, o nazismo e o apartheid, onde, depois de anos de sofrimento e lutas, os oprimidos conseguiram a liberdade.
Entretanto, já no século XXI, o que se observa ainda são episódios de preconceito que ocorrem diariamente afetam pessoas nas mais diversas camadas sociais. Essas atitudes refletem uma sociedade composta por pessoas ignorantes, que se mostram contrárias aos reais valores humanos que independem de raça ou cor.
Diante disso resta a dúvida: ainda há esperança para a boa convivência nessa sociedade? Uma vez que ocorra a reeducação das pessoas que praticam tais atos, através de penalidades mais duras, certamente alcançaremos um país mais igualitário e livre de preconceito.",5.0
